Entreprise,Secteur,Taille,TypeAttaque,Date,Vecteur,ImpactAriary,IndispoHeures,DonneesCompromises,CampagneSécurité
Davis and Sons,Transport,1568,phishing,2024-02-26 02:15:38.157673,API vulnérable,353703.35,33,Oui,AuditSécurité
"Rodriguez, Figueroa and Sanchez",Technologie,1359,account takeover,2024-02-27 15:05:11.062476,email,399611.56,31,Oui,
Galloway-Wyatt,Santé,1259,malware,2024-02-27 17:21:52.737682,téléchargement,585438.08,10,Non,
Doyle Ltd,Santé,278,exploitation de vulnérabilité,2024-02-29 09:58:43.485643,port ouvert,285432.72,21,Non,FormationPhishing
"Walter, Edwards and Rios",Éducation,104,phishing,2024-03-01 02:33:03.126188,site compromis,89517.91,24,Non,
Wilkerson-Day,Technologie,1199,intrusion,2024-03-01 18:02:03.667071,téléchargement,295268.16,17,Oui,AuditSécurité
Dudley Group,Commerce,1566,ddos,2024-03-02 05:47:11.988150,clé USB,519025.55,30,Non,FormationPhishing
"Henderson, Ramirez and Lewis",Énergie,335,ransomware,2024-03-03 21:09:46.040015,clé USB,187222.96,38,Oui,PatchUrgent
"Walter, Edwards and Rios",Énergie,104,account takeover,2024-03-04 18:45:18.445583,RDP exposé,175268.15,32,Oui,PatchUrgent
Garcia-James,Énergie,1558,ddos,2024-03-05 10:58:43.402001,téléchargement,299042.38,22,Oui,FormationPhishing
"Reid, Ferguson and Sanchez",Finance,241,malware,2024-03-06 17:59:29.223160,RDP exposé,17339.22,26,Non,FormationPhishing
"Walter, Edwards and Rios",Technologie,104,ransomware,2024-03-06 19:06:29.204270,port ouvert,41371.76,12,Non,PatchUrgent
"Adams, Zuniga and Wong",Énergie,111,malware,2024-03-07 03:54:23.495092,RDP exposé,362083.18,22,Non,PatchUrgent
Gray-Mayo,Finance,497,malware,2024-03-09 08:59:58.334524,email,300284.6,37,Oui,PatchUrgent
Davis and Sons,Industrie,1568,fuite de données,2024-03-09 12:49:15.293722,port ouvert,484883.64,29,Oui,AuditSécurité
"Walter, Edwards and Rios",Industrie,104,malware,2024-03-11 15:26:55.102689,RDP exposé,93278.56,41,Oui,MFA
"Walter, Edwards and Rios",Finance,104,ddos,2024-03-12 06:11:54.398582,téléchargement,741525.62,36,Oui,
"Henderson, Ramirez and Lewis",Santé,335,malware,2024-03-13 19:18:10.375398,email,76968.76,13,Non,MFA
Arnold Ltd,Commerce,1877,fuite de données,2024-03-14 01:41:34.755664,clé USB,555479.98,29,Non,
"Adams, Zuniga and Wong",Santé,111,ddos,2024-03-14 03:48:20.703816,email,662013.51,21,Non,PatchUrgent
Baker and Sons,Énergie,457,phishing,2024-03-14 09:01:23.518676,site compromis,23091.72,1,Non,FormationPhishing
Perez Inc,Santé,1084,ransomware,2024-03-14 12:38:56.807181,port ouvert,491964.09,19,Oui,AuditSécurité
"Gardner, Robinson and Lawrence",Technologie,551,exploitation de vulnérabilité,2024-03-14 17:36:42.044575,clé USB,288220.78,19,Oui,
Wilkerson-Day,Technologie,1199,ddos,2024-03-15 08:47:55.800396,API vulnérable,1480042.27,22,Oui,
"Watts, Robinson and Nguyen",Technologie,526,intrusion,2024-03-17 08:54:18.217234,email,320981.14,1,Oui,FormationPhishing
Abbott-Munoz,Énergie,259,malware,2024-03-17 15:16:33.573051,site compromis,753540.33,22,Oui,PatchUrgent
Doyle Ltd,Transport,278,exploitation de vulnérabilité,2024-03-17 23:34:20.867844,clé USB,484491.54,43,Non,
Arnold Ltd,Finance,1877,malware,2024-03-19 03:03:33.209647,clé USB,100683.82,27,Non,
"Mcclure, Ward and Lee",Transport,1166,fuite de données,2024-03-19 05:16:30.931474,RDP exposé,240914.68,22,Non,MFA
Davis and Sons,Santé,1568,malware,2024-03-19 11:59:03.541825,téléchargement,910252.12,17,Oui,
"Guzman, Hoffman and Baldwin",Santé,613,malware,2024-03-19 20:39:23.605985,site compromis,196013.68,41,Non,AuditSécurité
"Henderson, Ramirez and Lewis",Industrie,335,exploitation de vulnérabilité,2024-03-20 14:27:52.114161,site compromis,1151616.15,32,Non,MFA
Galloway-Wyatt,Énergie,1259,malware,2024-03-21 07:16:41.174536,clé USB,1206693.62,25,Non,PatchUrgent
"Gardner, Robinson and Lawrence",Énergie,551,phishing,2024-03-22 00:19:25.120999,clé USB,611030.08,46,Oui,FormationPhishing
Blake and Sons,Finance,507,fuite de données,2024-03-22 00:23:54.583588,site compromis,576670.81,28,Non,FormationPhishing
"Reid, Ferguson and Sanchez",Transport,241,fuite de données,2024-03-22 13:38:02.152798,email,1463466.21,17,Non,AuditSécurité
"Mcclain, Miller and Henderson",Éducation,101,malware,2024-03-24 22:56:21.419762,email,506758.99,11,Non,PatchUrgent
"Mcclain, Miller and Henderson",Industrie,101,phishing,2024-03-25 14:40:39.789154,RDP exposé,920636.64,6,Non,
"Mcclure, Ward and Lee",Industrie,1166,malware,2024-03-25 19:00:19.106057,site compromis,288850.5,7,Non,PatchUrgent
Williams and Sons,Santé,228,ransomware,2024-03-27 10:15:35.889048,clé USB,1401707.79,23,Oui,AuditSécurité
"Gardner, Robinson and Lawrence",Énergie,551,ddos,2024-03-29 22:06:13.375874,port ouvert,157651.85,32,Non,PatchUrgent
"Guzman, Hoffman and Baldwin",Finance,613,malware,2024-03-30 23:55:49.532557,email,429986.07,15,Non,
Williams and Sons,Industrie,228,account takeover,2024-04-01 17:36:51.256104,email,630236.74,17,Oui,
Baker and Sons,Transport,457,account takeover,2024-04-01 23:23:58.885203,téléchargement,714577.82,29,Non,FormationPhishing
Gray-Mayo,Finance,497,phishing,2024-04-02 01:59:50.598861,API vulnérable,88255.2,0,Oui,AuditSécurité
Williams and Sons,Énergie,228,ddos,2024-04-02 17:54:03.401186,clé USB,346536.24,15,Non,MFA
"Watts, Robinson and Nguyen",Technologie,526,exploitation de vulnérabilité,2024-04-02 23:02:58.573132,port ouvert,17248.11,20,Non,FormationPhishing
Abbott-Munoz,Énergie,259,account takeover,2024-04-03 22:20:50.598819,RDP exposé,559684.98,18,Non,MFA
"Adams, Zuniga and Wong",Commerce,111,ransomware,2024-04-04 18:13:48.251571,téléchargement,229815.18,16,Non,FormationPhishing
Blake and Sons,Éducation,507,ddos,2024-04-05 03:13:38.961662,RDP exposé,312093.41,46,Oui,MFA
Blake and Sons,Finance,507,malware,2024-04-05 09:36:34.329302,clé USB,669141.9,17,Non,MFA
Doyle Ltd,Transport,278,fuite de données,2024-04-05 18:07:27.782800,site compromis,380697.8,42,Oui,MFA
James Group,Industrie,914,malware,2024-04-07 06:14:41.954434,port ouvert,79381.97,28,Non,AuditSécurité
"Gardner, Robinson and Lawrence",Commerce,551,phishing,2024-04-08 17:12:29.349027,téléchargement,360678.61,29,Non,MFA
Baker and Sons,Technologie,457,phishing,2024-04-11 03:08:41.243408,clé USB,85589.49,30,Non,
Gray-Mayo,Énergie,497,intrusion,2024-04-12 05:27:17.576874,port ouvert,214090.58,23,Non,AuditSécurité
James Group,Commerce,914,ddos,2024-04-14 07:12:18.920129,téléchargement,346778.97,7,Oui,MFA
"Henderson, Ramirez and Lewis",Éducation,335,intrusion,2024-04-15 01:53:45.215209,téléchargement,280286.99,24,Oui,AuditSécurité
"Flowers, Martin and Kelly",Transport,115,exploitation de vulnérabilité,2024-04-18 04:37:08.614480,téléchargement,635648.65,7,Oui,MFA
Doyle Ltd,Commerce,278,account takeover,2024-04-21 14:25:04.090345,email,370877.99,46,Oui,MFA
Morales-Jones,Santé,1282,malware,2024-04-21 17:37:54.903936,site compromis,460561.21,31,Oui,AuditSécurité
Arnold Ltd,Éducation,1877,account takeover,2024-04-22 01:10:56.624562,site compromis,687559.87,22,Oui,
Blair PLC,Commerce,1435,exploitation de vulnérabilité,2024-04-23 05:11:47.440774,site compromis,516390.93,51,Non,PatchUrgent
Arnold Ltd,Éducation,1877,account takeover,2024-04-23 17:25:34.841704,clé USB,715499.76,35,Non,FormationPhishing
"Snyder, Campos and Callahan",Éducation,1486,intrusion,2024-04-23 17:51:05.974722,téléchargement,30319.39,36,Oui,MFA
"Snyder, Campos and Callahan",Commerce,1486,malware,2024-04-23 21:10:28.358238,email,234901.04,19,Oui,MFA
Abbott-Munoz,Transport,259,malware,2024-04-25 08:52:09.294782,clé USB,450458.59,12,Oui,PatchUrgent
Wilkerson-Day,Éducation,1199,ddos,2024-04-27 00:53:23.630156,email,1141012.25,40,Oui,MFA
"Reid, Ferguson and Sanchez",Commerce,241,exploitation de vulnérabilité,2024-04-29 20:22:52.692629,clé USB,325246.43,28,Oui,PatchUrgent
Arnold Ltd,Technologie,1877,exploitation de vulnérabilité,2024-05-02 04:18:28.658925,site compromis,125709.0,18,Oui,AuditSécurité
Arnold Ltd,Finance,1877,phishing,2024-05-03 21:19:13.188616,clé USB,106701.33,20,Oui,PatchUrgent
"Watts, Robinson and Nguyen",Finance,526,ddos,2024-05-04 09:11:22.737233,port ouvert,266770.45,22,Non,
"Rodriguez, Figueroa and Sanchez",Commerce,1359,ddos,2024-05-05 06:50:14.383532,site compromis,43803.11,18,Oui,
"Reid, Ferguson and Sanchez",Industrie,241,intrusion,2024-05-07 00:10:20.556162,clé USB,155132.15,41,Oui,MFA
Wilkerson-Day,Finance,1199,intrusion,2024-05-12 14:18:47.364660,API vulnérable,119357.14,28,Oui,MFA
"Henderson, Ramirez and Lewis",Transport,335,fuite de données,2024-05-13 18:59:08.717908,clé USB,190743.43,20,Non,PatchUrgent
Perez Inc,Énergie,1084,ransomware,2024-05-15 20:26:48.096394,API vulnérable,290754.33,29,Oui,PatchUrgent
"Mcclure, Ward and Lee",Industrie,1166,exploitation de vulnérabilité,2024-05-15 20:34:36.626461,API vulnérable,61361.51,36,Oui,AuditSécurité
Blake and Sons,Éducation,507,ddos,2024-05-17 08:12:21.703651,port ouvert,3945.92,6,Non,MFA
"Walter, Edwards and Rios",Industrie,104,fuite de données,2024-05-17 09:05:25.410722,email,321900.36,17,Non,FormationPhishing
Arnold Ltd,Finance,1877,account takeover,2024-05-18 04:56:24.626995,téléchargement,370844.56,21,Oui,MFA
Garcia-James,Transport,1558,phishing,2024-05-18 16:17:09.540887,site compromis,58644.23,40,Oui,MFA
Blair PLC,Technologie,1435,account takeover,2024-05-20 17:13:09.056996,port ouvert,241928.72,25,Non,AuditSécurité
Blake and Sons,Éducation,507,phishing,2024-05-21 21:45:17.223600,site compromis,552360.19,33,Oui,FormationPhishing
"Reid, Ferguson and Sanchez",Transport,241,ransomware,2024-05-21 23:44:30.601061,site compromis,237902.28,15,Non,
"Snyder, Campos and Callahan",Santé,1486,phishing,2024-05-22 13:00:28.390157,site compromis,335789.42,8,Non,
"Watts, Robinson and Nguyen",Santé,526,intrusion,2024-05-23 11:56:32.407174,clé USB,1132887.26,29,Non,FormationPhishing
"Mcclain, Miller and Henderson",Transport,101,ddos,2024-05-24 04:51:45.808986,site compromis,217041.73,14,Oui,
Doyle Ltd,Éducation,278,malware,2024-05-24 09:38:11.603575,API vulnérable,119933.6,32,Oui,MFA
"Reid, Ferguson and Sanchez",Technologie,241,ddos,2024-05-24 10:09:22.391017,email,641719.1,14,Non,AuditSécurité
"Mcclain, Miller and Henderson",Éducation,101,phishing,2024-05-24 18:35:10.374310,site compromis,186412.61,21,Non,AuditSécurité
"Gardner, Robinson and Lawrence",Technologie,551,intrusion,2024-05-25 04:16:27.837744,téléchargement,810516.85,30,Oui,MFA
Williams and Sons,Commerce,228,account takeover,2024-05-27 06:06:32.118855,port ouvert,159222.11,21,Oui,AuditSécurité
"Reid, Ferguson and Sanchez",Santé,241,ddos,2024-05-30 10:36:32.580753,RDP exposé,336069.51,0,Non,MFA
"Hoffman, Baker and Richards",Commerce,1516,ddos,2024-06-03 00:23:30.895545,clé USB,447015.09,27,Oui,AuditSécurité
"Walter, Edwards and Rios",Industrie,104,fuite de données,2024-06-03 21:49:08.000104,clé USB,190645.62,19,Oui,MFA
Dudley Group,Transport,1566,ransomware,2024-06-04 12:41:18.606897,port ouvert,294814.07,35,Non,PatchUrgent
Wilkerson-Day,Santé,1199,ddos,2024-06-05 00:44:52.762318,RDP exposé,282461.73,32,Non,MFA
Dudley Group,Éducation,1566,ddos,2024-06-05 16:36:30.539320,API vulnérable,306415.56,27,Non,FormationPhishing
"Mcclain, Miller and Henderson",Santé,101,malware,2024-06-05 22:11:59.704051,site compromis,526161.44,5,Oui,
Dudley Group,Transport,1566,fuite de données,2024-06-06 08:21:06.823839,email,259712.12,42,Oui,PatchUrgent
"Gardner, Robinson and Lawrence",Énergie,551,ransomware,2024-06-06 14:49:50.406428,clé USB,344346.81,27,Non,FormationPhishing
Dudley Group,Commerce,1566,ransomware,2024-06-06 19:27:47.500397,API vulnérable,235783.12,18,Non,FormationPhishing
Morales-Jones,Énergie,1282,intrusion,2024-06-06 23:45:31.886303,site compromis,459673.26,42,Oui,
Williams and Sons,Finance,228,exploitation de vulnérabilité,2024-06-07 12:44:52.873874,téléchargement,1063771.59,29,Oui,PatchUrgent
Morales-Jones,Énergie,1282,fuite de données,2024-06-08 02:39:45.157954,site compromis,1067981.9,26,Oui,
"Walter, Edwards and Rios",Santé,104,ransomware,2024-06-09 13:05:57.009268,port ouvert,67981.72,33,Oui,FormationPhishing
Abbott-Munoz,Énergie,259,phishing,2024-06-09 15:12:28.550030,port ouvert,19516.92,37,Non,FormationPhishing
Doyle Ltd,Énergie,278,phishing,2024-06-10 06:18:32.110078,téléchargement,348137.54,6,Non,AuditSécurité
James Group,Énergie,914,phishing,2024-06-11 01:35:49.818106,API vulnérable,152171.85,7,Oui,
Perez Inc,Commerce,1084,fuite de données,2024-06-11 23:17:01.698951,port ouvert,56933.46,11,Oui,MFA
Davis and Sons,Santé,1568,account takeover,2024-06-12 22:26:38.988895,RDP exposé,567057.09,39,Non,
Davis and Sons,Énergie,1568,phishing,2024-06-14 21:40:19.877162,API vulnérable,512059.91,31,Oui,AuditSécurité
"Walter, Edwards and Rios",Finance,104,ddos,2024-06-17 00:12:56.665582,port ouvert,573646.8,31,Oui,PatchUrgent
Davis and Sons,Finance,1568,ransomware,2024-06-17 16:11:08.135063,port ouvert,420007.23,17,Oui,
"Watts, Robinson and Nguyen",Énergie,526,malware,2024-06-19 00:25:20.458443,téléchargement,204246.8,17,Non,MFA
Dudley Group,Technologie,1566,malware,2024-06-20 05:13:19.845004,email,892136.41,30,Oui,MFA
"Guzman, Hoffman and Baldwin",Énergie,613,phishing,2024-06-20 15:59:24.461243,téléchargement,634802.96,40,Oui,MFA
"Mcclure, Ward and Lee",Éducation,1166,fuite de données,2024-06-21 04:53:37.976091,API vulnérable,94682.38,34,Oui,MFA
"Hoffman, Baker and Richards",Finance,1516,account takeover,2024-06-21 08:50:13.770095,port ouvert,76411.31,15,Non,FormationPhishing
"Snyder, Campos and Callahan",Éducation,1486,ddos,2024-06-26 20:35:01.663554,site compromis,183623.36,17,Oui,AuditSécurité
"Flowers, Martin and Kelly",Finance,115,ransomware,2024-06-26 21:01:26.144421,RDP exposé,162783.29,31,Oui,PatchUrgent
"Reid, Ferguson and Sanchez",Technologie,241,account takeover,2024-06-26 23:25:53.606747,email,522742.09,49,Oui,PatchUrgent
"Mcclure, Ward and Lee",Technologie,1166,exploitation de vulnérabilité,2024-06-27 08:49:19.403340,RDP exposé,779297.79,14,Non,MFA
"Walter, Edwards and Rios",Finance,104,malware,2024-06-27 09:37:18.319906,téléchargement,806548.85,25,Oui,FormationPhishing
"Mcclain, Miller and Henderson",Technologie,101,fuite de données,2024-06-28 03:08:34.127691,RDP exposé,1006855.63,29,Oui,PatchUrgent
"Mcclain, Miller and Henderson",Industrie,101,exploitation de vulnérabilité,2024-06-29 16:47:34.318137,port ouvert,295549.53,24,Non,PatchUrgent
Blair PLC,Transport,1435,account takeover,2024-06-29 22:05:45.994211,port ouvert,378507.74,15,Non,
"Flowers, Martin and Kelly",Éducation,115,ransomware,2024-06-30 20:49:33.686577,email,322404.6,0,Oui,AuditSécurité
Doyle Ltd,Transport,278,fuite de données,2024-07-01 11:54:24.674308,API vulnérable,519296.23,4,Oui,AuditSécurité
Dudley Group,Santé,1566,ddos,2024-07-03 22:00:43.851302,RDP exposé,433214.99,23,Non,FormationPhishing
Davis and Sons,Énergie,1568,account takeover,2024-07-05 23:58:25.072396,site compromis,252866.15,16,Oui,MFA
Morales-Jones,Transport,1282,ransomware,2024-07-06 23:01:19.011425,site compromis,132845.63,33,Oui,PatchUrgent
"Hoffman, Baker and Richards",Technologie,1516,malware,2024-07-07 15:45:58.285641,port ouvert,144386.97,13,Non,PatchUrgent
Galloway-Wyatt,Technologie,1259,fuite de données,2024-07-07 20:41:12.121642,clé USB,306598.31,14,Non,AuditSécurité
"Gardner, Robinson and Lawrence",Commerce,551,phishing,2024-07-08 21:34:36.009606,email,191626.65,20,Non,PatchUrgent
Garcia-James,Industrie,1558,phishing,2024-07-08 23:30:03.382330,port ouvert,494786.23,4,Oui,FormationPhishing
"Rodriguez, Figueroa and Sanchez",Éducation,1359,ransomware,2024-07-09 06:55:09.594644,port ouvert,18192.95,22,Non,AuditSécurité
"Rodriguez, Figueroa and Sanchez",Industrie,1359,phishing,2024-07-09 23:31:51.080537,téléchargement,950379.9,34,Non,PatchUrgent
Davis and Sons,Santé,1568,fuite de données,2024-07-10 04:07:04.738416,téléchargement,421931.62,15,Non,MFA
"Snyder, Campos and Callahan",Finance,1486,ddos,2024-07-12 03:43:02.272839,téléchargement,22751.26,41,Oui,AuditSécurité
Arnold Ltd,Commerce,1877,exploitation de vulnérabilité,2024-07-12 08:21:31.664904,port ouvert,23216.81,26,Oui,
James Group,Énergie,914,exploitation de vulnérabilité,2024-07-12 16:53:08.083139,API vulnérable,591951.41,33,Non,AuditSécurité
Galloway-Wyatt,Transport,1259,malware,2024-07-13 19:50:57.539001,email,1066257.5,50,Non,PatchUrgent
Dudley Group,Transport,1566,fuite de données,2024-07-15 03:02:11.949406,téléchargement,78745.89,7,Non,FormationPhishing
"Ross, Robinson and Bright",Éducation,1380,ddos,2024-07-15 22:08:48.878409,API vulnérable,31708.85,18,Oui,FormationPhishing
"Mcclure, Ward and Lee",Commerce,1166,exploitation de vulnérabilité,2024-07-16 00:15:22.922163,téléchargement,352852.33,21,Oui,PatchUrgent
Dudley Group,Technologie,1566,malware,2024-07-16 03:32:33.955151,port ouvert,295696.17,0,Non,AuditSécurité
Gray-Mayo,Santé,497,exploitation de vulnérabilité,2024-07-16 04:10:48.502704,clé USB,858697.03,26,Non,PatchUrgent
Dudley Group,Éducation,1566,intrusion,2024-07-16 09:55:45.060694,site compromis,989606.41,33,Oui,AuditSécurité
"Walter, Edwards and Rios",Commerce,104,exploitation de vulnérabilité,2024-07-16 13:36:02.314378,clé USB,230206.68,19,Non,MFA
Morales-Jones,Santé,1282,phishing,2024-07-16 18:34:04.941388,port ouvert,39182.47,48,Non,PatchUrgent
"Ross, Robinson and Bright",Commerce,1380,intrusion,2024-07-17 08:10:20.880735,RDP exposé,728028.4,26,Oui,AuditSécurité
Arnold Ltd,Éducation,1877,intrusion,2024-07-17 22:45:56.647131,clé USB,365440.12,34,Non,FormationPhishing
"Mcclure, Ward and Lee",Transport,1166,account takeover,2024-07-18 19:18:49.807814,site compromis,380818.01,16,Oui,FormationPhishing
James Group,Santé,914,exploitation de vulnérabilité,2024-07-19 05:06:49.727557,API vulnérable,323455.49,30,Oui,AuditSécurité
"Hoffman, Baker and Richards",Éducation,1516,exploitation de vulnérabilité,2024-07-23 07:14:49.638796,port ouvert,1036286.19,29,Non,AuditSécurité
Davis and Sons,Industrie,1568,ransomware,2024-07-25 08:33:48.304890,téléchargement,733337.34,38,Non,AuditSécurité
Garcia-James,Santé,1558,ransomware,2024-07-26 00:26:00.745681,API vulnérable,1143092.95,26,Oui,PatchUrgent
Blake and Sons,Commerce,507,account takeover,2024-07-26 01:57:52.787153,téléchargement,1422875.99,25,Oui,MFA
Garcia-James,Transport,1558,ddos,2024-07-28 18:01:05.235101,clé USB,233495.36,30,Non,PatchUrgent
Gray-Mayo,Énergie,497,account takeover,2024-07-29 07:22:48.924003,port ouvert,1006139.13,39,Non,MFA
"Hoffman, Baker and Richards",Éducation,1516,fuite de données,2024-07-30 10:21:09.209913,RDP exposé,1486679.9,24,Oui,PatchUrgent
Garcia-James,Technologie,1558,malware,2024-08-03 01:05:52.507642,port ouvert,193891.88,16,Non,MFA
James Group,Industrie,914,account takeover,2024-08-03 13:26:27.270261,port ouvert,701569.84,4,Non,
Dudley Group,Industrie,1566,exploitation de vulnérabilité,2024-08-03 19:19:42.228984,RDP exposé,179921.02,6,Oui,
"Watts, Robinson and Nguyen",Finance,526,account takeover,2024-08-05 06:20:33.125974,API vulnérable,86757.95,12,Oui,PatchUrgent
"Ross, Robinson and Bright",Industrie,1380,phishing,2024-08-06 04:02:38.953386,clé USB,119480.87,8,Oui,PatchUrgent
"Gardner, Robinson and Lawrence",Industrie,551,fuite de données,2024-08-06 23:06:37.969061,API vulnérable,611585.29,24,Oui,PatchUrgent
Garcia-James,Santé,1558,exploitation de vulnérabilité,2024-08-07 05:35:04.901826,API vulnérable,127037.84,2,Oui,
Doyle Ltd,Industrie,278,fuite de données,2024-08-08 18:04:34.573151,site compromis,779055.44,33,Oui,AuditSécurité
"Walter, Edwards and Rios",Industrie,104,ransomware,2024-08-08 22:04:06.887489,clé USB,58805.65,26,Non,FormationPhishing
"Rodriguez, Figueroa and Sanchez",Éducation,1359,ddos,2024-08-10 03:26:59.296999,email,5911.59,26,Oui,MFA
"Henderson, Ramirez and Lewis",Santé,335,fuite de données,2024-08-10 15:15:11.656466,téléchargement,614702.79,0,Oui,PatchUrgent
"Mcclain, Miller and Henderson",Technologie,101,intrusion,2024-08-10 17:36:24.309410,RDP exposé,589180.54,17,Non,AuditSécurité
Morales-Jones,Transport,1282,fuite de données,2024-08-11 17:33:12.710060,RDP exposé,686516.23,39,Oui,
"Walter, Edwards and Rios",Industrie,104,malware,2024-08-12 15:47:38.330863,API vulnérable,362041.98,19,Non,
"Mcclain, Miller and Henderson",Finance,101,ddos,2024-08-12 20:39:22.205384,clé USB,646478.41,22,Oui,FormationPhishing
"Watts, Robinson and Nguyen",Éducation,526,phishing,2024-08-14 01:43:08.469512,clé USB,158659.66,22,Oui,FormationPhishing
Baker and Sons,Technologie,457,fuite de données,2024-08-14 16:37:54.825990,téléchargement,299651.12,17,Oui,FormationPhishing
Perez Inc,Industrie,1084,ddos,2024-08-17 02:39:51.023361,API vulnérable,539455.78,26,Oui,PatchUrgent
Williams and Sons,Énergie,228,ddos,2024-08-21 03:07:32.201406,site compromis,789720.06,18,Non,FormationPhishing
Davis and Sons,Commerce,1568,intrusion,2024-08-22 04:27:41.656527,téléchargement,237716.82,4,Non,FormationPhishing
Galloway-Wyatt,Technologie,1259,ddos,2024-08-24 12:15:57.723686,téléchargement,506386.95,11,Oui,AuditSécurité
"Rodriguez, Figueroa and Sanchez",Technologie,1359,phishing,2024-08-24 13:03:27.391942,téléchargement,167295.79,14,Oui,MFA
"Rodriguez, Figueroa and Sanchez",Énergie,1359,account takeover,2024-08-25 03:38:49.303927,port ouvert,263676.57,26,Oui,AuditSécurité
"Flowers, Martin and Kelly",Technologie,115,exploitation de vulnérabilité,2024-08-26 01:00:13.435791,site compromis,74362.45,25,Non,PatchUrgent
"Snyder, Campos and Callahan",Industrie,1486,malware,2024-08-29 16:05:10.913779,port ouvert,1065143.76,20,Oui,
Wilkerson-Day,Finance,1199,intrusion,2024-08-31 01:43:13.290071,clé USB,345199.54,40,Oui,FormationPhishing
"Snyder, Campos and Callahan",Commerce,1486,phishing,2024-08-31 16:58:25.870705,port ouvert,540976.49,20,Non,
Arnold Ltd,Énergie,1877,phishing,2024-09-01 08:20:24.472709,port ouvert,88268.61,32,Non,AuditSécurité
Galloway-Wyatt,Éducation,1259,account takeover,2024-09-02 15:11:56.132929,email,1123318.5,11,Non,AuditSécurité
Blair PLC,Finance,1435,malware,2024-09-02 17:40:07.243075,email,1019982.26,32,Oui,MFA
"Hoffman, Baker and Richards",Commerce,1516,fuite de données,2024-09-02 18:57:56.435595,site compromis,102807.77,45,Non,AuditSécurité
Williams and Sons,Finance,228,fuite de données,2024-09-04 05:35:13.733926,email,261602.4,30,Oui,FormationPhishing
Blair PLC,Santé,1435,ddos,2024-09-05 09:09:07.898497,port ouvert,138196.15,45,Oui,MFA
Williams and Sons,Industrie,228,ransomware,2024-09-06 20:29:38.542915,téléchargement,1034952.25,28,Oui,
Wilkerson-Day,Santé,1199,phishing,2024-09-06 23:20:35.667508,port ouvert,42365.38,33,Non,PatchUrgent
Doyle Ltd,Technologie,278,exploitation de vulnérabilité,2024-09-08 05:00:16.597553,RDP exposé,335446.25,29,Oui,
Gray-Mayo,Éducation,497,ransomware,2024-09-09 09:27:49.156790,clé USB,496778.36,0,Non,
"Flowers, Martin and Kelly",Commerce,115,account takeover,2024-09-09 14:11:32.582659,téléchargement,1150595.34,23,Oui,
Doyle Ltd,Technologie,278,fuite de données,2024-09-11 21:40:10.050032,clé USB,214497.51,17,Non,AuditSécurité
"Mcclain, Miller and Henderson",Industrie,101,fuite de données,2024-09-13 07:06:36.218895,API vulnérable,646232.31,42,Oui,AuditSécurité
"Flowers, Martin and Kelly",Industrie,115,ddos,2024-09-13 08:17:39.708635,API vulnérable,336371.51,26,Oui,
Garcia-James,Technologie,1558,intrusion,2024-09-13 10:05:51.313257,site compromis,161449.15,28,Non,MFA
Williams and Sons,Santé,228,ransomware,2024-09-14 03:28:50.233506,clé USB,202556.73,21,Oui,
"Guzman, Hoffman and Baldwin",Transport,613,ransomware,2024-09-14 07:46:44.843300,port ouvert,1228103.56,10,Oui,MFA
"Guzman, Hoffman and Baldwin",Finance,613,account takeover,2024-09-14 09:52:15.571081,email,125321.28,18,Non,FormationPhishing
Abbott-Munoz,Transport,259,ransomware,2024-09-15 19:33:03.536770,email,440152.2,34,Oui,PatchUrgent
Gray-Mayo,Énergie,497,ransomware,2024-09-16 03:28:17.515449,site compromis,1261078.1,36,Oui,
Arnold Ltd,Finance,1877,ddos,2024-09-16 19:35:26.193084,port ouvert,742947.78,29,Oui,
"Snyder, Campos and Callahan",Technologie,1486,ddos,2024-09-17 05:00:37.788177,RDP exposé,989786.07,17,Oui,
"Flowers, Martin and Kelly",Éducation,115,malware,2024-09-17 13:47:07.306231,site compromis,317807.28,33,Non,AuditSécurité
"Mcclure, Ward and Lee",Finance,1166,ransomware,2024-09-18 00:20:24.083717,clé USB,306052.19,4,Oui,PatchUrgent
"Mcclain, Miller and Henderson",Finance,101,malware,2024-09-18 02:44:35.551605,RDP exposé,739340.42,23,Non,MFA
Blair PLC,Commerce,1435,intrusion,2024-09-19 00:40:58.638372,RDP exposé,718769.97,17,Non,MFA
"Snyder, Campos and Callahan",Industrie,1486,exploitation de vulnérabilité,2024-09-20 19:56:20.807430,clé USB,307910.91,24,Oui,PatchUrgent
Doyle Ltd,Technologie,278,intrusion,2024-09-20 21:07:12.740595,port ouvert,290933.13,26,Oui,PatchUrgent
"Walter, Edwards and Rios",Commerce,104,ddos,2024-09-20 22:02:13.018213,site compromis,452234.75,32,Non,
"Rodriguez, Figueroa and Sanchez",Transport,1359,intrusion,2024-09-21 19:04:48.095124,email,361359.28,14,Oui,
Williams and Sons,Santé,228,ddos,2024-09-22 02:26:29.267241,téléchargement,300810.0,20,Non,
Dudley Group,Transport,1566,fuite de données,2024-09-22 17:56:52.014976,API vulnérable,827878.06,13,Non,AuditSécurité
Williams and Sons,Santé,228,malware,2024-09-23 13:14:17.739567,RDP exposé,473548.69,21,Non,
"Mcclure, Ward and Lee",Transport,1166,exploitation de vulnérabilité,2024-09-23 17:20:17.340182,port ouvert,488278.48,27,Oui,AuditSécurité
